code,name,faculty,duration,type,branch,section,year,credits,semesterHalf,basket,isElective,sharedWith
NEW,Leveraging IT for Social Good & CSR,Dr. Rajesh N S,1,Lecture,CSE,A,1,2,1,1,TRUE,"ECE,DSAI"
NEW,Basics of Design,Dr. Sandesh P,1,Lecture,CSE,A,1,2,1,1,TRUE,"ECE,DSAI"
HS156,Holistic Personality Development,Dr. Rajesh N S,1,Lecture,CSE,A,1,2,1,1,TRUE,"ECE,DSAI"
CS151,Introduction to Cybersecurity,Dr. Girish Revadigar,1,Lecture,CSE,A,1,2,1,1,TRUE,"ECE,DSAI"
PH151,Introduction to Quantum Physics,Prof. Ravishankar,1,Lecture,CSE,B,1,2,1,1,TRUE,"ECE,DSAI"
DS151,Linux for Engineers,Dr. Vivekraj V K,1,Lecture,CSE,B,1,2,1,1,TRUE,"ECE,DSAI"
NEW,Fundamentals of Sensing and Control,Mr. Mallikarjun Kande,1,Lecture,CSE,B,1,2,1,1,TRUE,"ECE,DSAI"
NEW,Leveraging IT for Social Good & CSR,Dr. Rajesh N S,1,Lecture,CSE,B,1,2,1,1,TRUE,"ECE,DSAI"
NEW,Basics of Design,Dr. Sandesh P,1,Lecture,CSE,B,1,2,1,1,TRUE,"ECE,DSAI"
HS156,Holistic Personality Development,Dr. Rajesh N S,1,Lecture,CSE,B,1,2,1,1,TRUE,"ECE,DSAI"
CS151,Introduction to Cybersecurity,Dr. Girish Revadigar,1,Lecture,CSE,B,1,2,1,1,TRUE,"ECE,DSAI"
MA161,Statistics,Dr. Ramesh Athe,1,Lecture,DSAI,ALL,1,2,2,0,FALSE,ECE
DS161,Introduction to DS and AI,Dr. Abdul Wahid,1,Lecture,DSAI,ALL,1,2,2,0,FALSE,ECE
MA162,Probability,Dr. Chinmayananda,1,Lecture,DSAI,ALL,1,2,1,0,FALSE,ECE
EC161,Digital Design,Dr. Prakash Pawar,1,Lecture,DSAI,ALL,1,2,1,0,FALSE,ECE
